name,lat,long,difficulty,max_elevation(m),elevation_gain(m),total_distance (km),duration,routes,starting_point,features_attractions
Kormoson Hill,0.3979998,36.021978,Easy.,1034,34,1.2,1 – 2 hrs.,,,
Kwenia Trail ,-1.7142297,36.4885632,Moderate.,1164,207,9,3 - 4 hrs.,,Kwenia Eco Lodge.,
Lake Chala,-3.3116663,37.7125883,Easy.,917,88,1,1 – 2 hrs.,,,
Lake Ellis & Nithi Fall,-0.1248352,37.4026751,Moderate,3455,505,19.1,7 - 8 hrs.,chogoria ,,
Leleshwa Vineyard ,-0.6656592,36.4457803,Easy.,1929,,1.2,1 – 2 hrs.,,,
Loita Hills ,-1.456422,35.644215,Moderate.,2409,756,36.3,4 days/3 nights camping.,,Naimina Enkiyio Forest(Loita Forest).,Entasopia Waterfalls & Nguruman Escarpment.
Loldia Eburru,-0.6703285,36.2717244,Easy.,2455,125,3.4,2 – 3 hrs.,,,
Lukenya Trail ,-1.4816465,37.076531,Moderate.,1853,538,25,6 - 7 hrs.,,Lukenya Academy.,
Machakos People’s Park,-1.537278,37.2370709,Easy.,1611,25,2,1 – 2 hrs.,,,
Mackinders Camp,0.1738836,37.2782493,Hard.,4300,1252,20,9 – 10 hrs.,,Met Station.,
Magura Falls,-0.4862622,36.7089969,Easy.,2989,34,1,< 1hr.,,,
Mambrui Beach ,-3.0764184,40.1606438,Easy,,,,,,,
Maratini Hill ,-0.3788687,36.6615021,Hard.,,1279,20,8 – 9 hrs.,,Geta Bush.,
Mbooni Forest/Hills ,-1.6572316,37.4656477,Moderate – Hard,1988,770,22.5,7 - 8 hrs.,,Mbooni Forest Station.,
Menengai Crater,-0.2020286,36.0703371,Moderate.,2278,,5.8,3 - 4 hrs.,,,
Migaa,-0.206373,35.8186546,Easy.,1717,,18.84,5 - 6 hrs.,,,"Cave, Waterfalls, Dams, Maize & Coffee Plantations."
Mnarani Ruins,-3.63907,39.8437745,Easy.,32,25,1,1 – 2 hrs.,,,
Mochongoi-Waseges Trail ,0.306261,36.196471,Easy – Moderate.,2266,43,7,3 - 4 hrs.,,Mochongoi.,
Mount Baio ,1.7787473,37.5372902,Hard.,1704,1153,17.8,10 – 11 hrs.,,,
Mount Chebuswa,-0.2132244,36.599375,Easy.,3364,140,3.3,1 – 2 hrs.,,,
Mount Kalembwani ,-1.9491631,37.2830954,Moderate.,1560,,6.3,2 – 3 hrs.,,,
Mount Kasigau,-3.8242962,38.6585106,Hard.,1707,1096,16.5,6 - 7 hrs.,,,
Mount Kenya – Point Lenana,-0.152707,37.3092138,Very Hard.,4985,,48.41,4 days/3nights camping,Chogoria – Sirimon.,,"Waterfalls, Lakes, Rivers, Tarns."
Mount Kenya – Point Lenana,-0.152707,37.3092138,Hard.,4985,2000,28,2 days/1 night camping.,Naro Moru.,Met Station.,
Mount Kenya – Point Lenana,-0.152707,37.3092138,Very Hard.,4835,2096,35,24 hrs.,Chogoria.,Chogoria Gate.,
Mount Kinangop,-0.5250424,36.6638089,Very Hard.,3906,1853,32.4,24 hrs.,Up Elephant Hill – Down Mutarakwa Forest.,,
Mount Kinangop ,-0.5250424,36.6638089,Hard.,3906,1464,29,16 hrs.,Mutubio – Njabini.,Mutubio Gate.,
Mount Kinangop ,-0.5781157,36.6301753,Hard.,3906,1340,27.2,10 – 11 hrs.,Mutarakwa.,North Kinangop Forest Station.,
Mount Kinangop ,-0.7236109,36.6802691,Very Hard.,3906,1949,29.5,12 – 13 hrs.,Up & Down via Elephant Hill.,Njabini Forest Gate.,
Mount Kipipiri,-0.4293917,36.533861,Moderate.,3363,567,17.8,7 - 8 hrs.,,,
Mount Kulal,2.7074828,36.9382416,Hard.,2285,1586,21,11 – 12 hrs.,,,
Mount Londiani,-0.1360708,35.743521,Easy.,3029,397,8,1 – 2 hrs.,,Kiptuget Forest Station.,
Mount Longonot,-0.9161671,36.4472929,Moderate.,2780,990,13.5,5 - 6 hrs.,,,
Mount Margaret,-1.0059913,36.5525436,Easy – Moderate.,1933,136,2,1 – 2 hrs.,,,
Mount Mtelo,1.6601319,35.3836564,Hard.,3336,,9.7,,,,
Mount Ng’iro,2.1729711,36.8067095,Very Hard.,2633,1980,23,13 hrs.,Jiijato Kosikosi Peak and back.,,
Mount Olesekut ,-1.5008139,36.5449534,Moderate.,2096,363,8,4 – 5 hrs.,,,
Mount Ololokwe,0.8482818,37.5312891,Moderate.,1851,852,13.7,6 - 7 hrs.,,,
Mount Olorgesailie,-1.6713143,36.4233897,Moderate – Hard.,1727,848,24.6,9 – 10hrs.,,,
Mount Poi,1.801546,37.2564256,Hard.,1981,1200,18.4,10 – 11 hrs.,,,
Mount Suswa,-1.14997,36.3282966,Moderate.,2356,611,21.3,6 - 7 hrs.,,,
Mugi Hill & Giant’s Billiard Table ,-0.1611994,37.4460067,Moderate – Hard.,3364,1148,27,7 - 8 hrs.,,Chogoria Gate.,
Mumoni Hill,-0.5576003,38.0236835,Moderate.,1754,743,12,4 – 5 hrs.,,Musosya.,
Mundoro,-0.9539711,36.7658518,Moderate.,2682,675,23.6,6 - 7 hrs.,,Mundoro.,
Mutarakwa Forest ,-0.5781157,36.6301753,Moderate.,3460,850,16,5 - 6 hrs.,,North Kinangop Forest Station.,
Mzima Springs,-2.9473031,37.7511306,Easy.,698,18,1,< 1hr.,,,
Nairobi Safari Walk,-1.3365703,36.7775351,Easy.,1789,,2.51,1 – 2 hrs.,,,Zoo.
Nandi Rock,-0.0199926,34.8706149,Moderate.,1849,147,3.3,1 – 2 hrs.,via Nandi county,Nandi Rock Primary School.,
Nandi Rock,-0.0199926,34.8706149,Moderate – Hard.,1849,822,9.59,5 - 6 hrs.,via Kisumu county,Makini School Kibos.,
Ndoinet Forest,-0.4116846,35.5409507,Easy – Moderate.,2486,517,13,3 - 4 hrs.,,,
Ngabunat Cave ,0.1909681,35.1296247,Easy.,2312,56,1.7,< 1hr.,,,
Ngangao Forest ,-3.3625875,38.3405754,Easy – Moderate.,1944,179,3,1 – 2 hrs.,,Dawida Biodiversity Conservation.,
Ngare Ndare Forest,0.1637352,37.3454937,Easy.,2146,224,8.2,3 - 4 hrs.,,,
Ngong Forest Sanctuary,-1.3072395,36.7486253,Moderate.,1854,,24.1,6 - 7 hrs.,,,"Streams, Dam."
Ngong Forest Sanctuary,-1.3072395,36.7486253,Easy.,1828,,5.13,1 – 2 hrs.,,,
Ngong Forest Sanctuary,-1.3072395,36.7486253,Easy.,1864,80,4.5,1 – 2 hrs.,,,
Ngong Forest Sanctuary,-1.3072395,36.7486253,Easy.,1825,70,5.8,1 – 2 hrs.,,,
Ngong Hills,-1.366967,36.6489226,Moderate.,2462,1200,21,6 - 7 hrs.,Ngong Gate to Kona Baridi Gate and back.,,
Njine Kabia Falls,-0.4934713,37.2951456,Easy.,1557,47,0.5,< 1hr.,,,
Nyahururu Falls,0.0449875,36.3703792,Easy – Moderate.,2339,86,1,< 1hr.,,,
Nyambene Hills ,0.2344134,37.8759004,Moderate.,2518,893,22,7 - 8 hrs.,,Administration Police Leadership & Sports Centre.,
Nyanduma Forest,-0.9586077,36.7200063,Moderate.,2332,445,16,5 - 6 hrs.,,,
Nzambani Rock,-1.4255369,38.0561981,Easy.,1207,136,1,1 – 2 hrs.,,,
Nzaui Hills,-1.9100404,37.5446335,Moderate.,1824,900,18.3,9 – 10hrs.,,,
Ol Doinyo Eburru,-0.6538394,36.1994653,Moderate.,2664,653,21,9 – 10hrs.,Deep Valley Waterfalls Trail.,,"Waterfalls, Hot Steam Vents."
Ol Doinyo Eburru ,-0.6336005,36.2359307,Easy – Moderate.,2830,450,11.2,3 - 4 hrs.,Eastern Summit Trail.,KFS Main Gate.,
Ol Doinyo Eburru ,-0.6470343,36.186651,Easy – Moderate.,2856,757,22,6 - 7 hrs.,Western Summit Trail.,Eburru KFS Gate.,
Ol Doinyo Orok / Namaga Hills,-2.4880943,36.7869846,Moderate – Hard.,1938,732,18.9,6 – 7 hrs.,Entorosi Cave & Waterfalls Trail.,,
Ol Donyo Sabuk / Kilmambogo,-1.1414008,37.2572725,Easy – Moderate.,2145,720,12.4,3 - 4 hrs.,,,
Oldoinyo LeSatima,-0.3458507,36.6165924,Hard.,4001,800,16,7 - 8 hrs.,Dragon’s Teeth Trail.,,
Oldoinyo LeSatima,-0.3458507,36.6165924,Hard.,4001,800,21,8 – 9 hrs.,Wandare ,Wandare trailhead.,
Ololosokuan,-1.3467606,36.6211227,Easy – Moderate.,,,,,,,
Oloolua Forest,-1.3631244,36.6963815,Easy.,1830,,4,1 – 2 hrs.,,,"Waterfalls, Cave."
Paradise Lost,-1.1918205,36.8280336,Easy.,1736,,2.78,< 1hr.,,,"Caves, Waterfalls, Dam."
Point Peter,-0.0488646,37.2873005,Hard.,4757,1850,32,3 Days.,Sirimon.,Old Moses Camp.,
Point Thompson,-0.1709026,37.2138009,Very Hard.,4955,1940,28,2 days/1 night camping.,Naro Moru.,Met Station.,
Ragati Conservancy,-0.3461651,37.2476145,Easy – Moderate.,2369,429,17,6 - 7 hrs.,,,
Ragia Forest,-0.7626121,36.6821404,Moderate,2742,545,18.1,7 - 8 hrs.,,,"Waterfalls, Sasamua Dam."
Resurrection Garden,-1.312833,36.6770033,Easy,1880,,1.23,< 1hr.,,,
Rhino Hill ,-0.6159775,36.0144673,Hard.,3890,1230,17,7 - 8 hrs.,,Kwa Matu.,
Rua Nyoni Falls ,-0.3582929,37.4395217,Easy – Moderate.,2179,326,10,3 - 4 hrs.,,Rutune Gate.,
Rurimeria Hill,-0.4153051,36.5870987,Hard.,3860,1182,14.4,9 – 10hrs.,,,
Sagalla Hills ,-3.484911,38.5936687,Easy – Moderate.,1523,261,4.7,1 – 2 hrs.,.,Sagalla Pre-School.,
Sagana Gorge,-0.6987849,37.2100935,Moderate.,1424,557,12.3,5 - 6 hrs.,,Riandira.,
Saiwa Swamp,1.0901077,35.1185982,Easy.,1872,76,5.2,1 – 2 hrs.,,,
Seven Ponds,-0.3392871,36.5752868,Hard.,3831,1040,11.2,7 - 8 hrs.,,,
Shimba Hills,-4.2567422,39.385695,Moderate.,454,174,4.6,1 – 2 hrs.,,,Sheldrick Falls.
Shompole Hill,-2.1314525,36.0996558,Hard.,1115,,7.6,6 - 7 hrs.,,,"Ewaso Ng’iro river, Lake Natron (nearby)."
Sleeping Warrior & Ugali Hills,-0.4972414,36.2440262,Moderate.,2110,818,18.7,6 - 7 hrs.,,,
Sudek Peak,1.0997692,34.5741361,Hard.,4302,1100,16,8 – 9 hrs.,,Road End.,
Table Mountain (Aberdare),-0.3492634,36.5869925,Very Hard.,3792,1249,12.5,6 - 7 hrs.,direct summit,,
Table Mountain (Aberdare),-0.3492634,36.5869925,Very Hard.,3817,1219,16.1,8 - 9 hrs.,via 7 ponds.,,
Takwa Ruins,-2.2970966,40.9581531,Easy.,25,44,2.3,1 – 2 hrs.,,,
Talio Rock ,-3.5271571,38.5808542,Moderate.,1213,145,2,1 – 2 hrs.,,Talio Primary School.,
The Twelve Apostles,-0.7236109,36.6802691,Very Hard.,,,,,,Njabini Gate.,
Thuci Falls ,-0.3467672,37.4829472,Easy – Moderate.,2262,490,24,6 - 7 hrs.,,Irangi Forest Station.,
Torok Falls,0.5301887,35.5156696,Moderate.,2141,,10,2 – 3 hrs.,,,
Twelve Apostles,-0.7236109,36.6802691,Very Hard.,,,,,,Njabini Gate.,
Uhuru Park,-1.2899465,36.8167197,Easy.,1687,46,3.6,1 – 2 hrs.,,,
Voi Hill,-3.3695703,38.5607926,Easy – Moderate.,923,287,3,1 – 2 hrs.,,,
Vuria Hill,-3.4154957,38.3016442,Easy – Moderate.,2208,490,5.5,2 – 3 hrs.,,,
Warges,0.9551833,37.3998446,Hard.,2428,1370,16.6,10 – 11 hrs.,,"Earth Watch Institute, Wamba.",
Wesu Rock,-3.4034406,38.3448246,Easy.,1869,127,2,1 – 2 hrs.,,,
Zaina Falls,-0.4308758,36.8534854,Easy.,2095,135,4.4,1 – 2 hrs.,,,
